Script File,Title,Female Total,Male Total,Either Total,Female Positive Agency,Female Negative Agency,Male Positive Agency,Male Negative Agency,Either Positive Agency,Either Negative Agency,Female Power,Male Power,Either Power
./scriptbase titles/Blue Valentine (film)/script.txt,Blue Valentine (film),548,342,382,353,43,210,37,232,42,277,180,181
./scriptbase titles/Grosse Pointe Blank/script.txt,Grosse Pointe Blank,116,239,281,69,16,147,25,171,40,53,135,139
./scriptbase titles/Panther (film)/script.txt,Panther (film),48,189,118,24,6,95,23,70,20,23,87,50
./scriptbase titles/Angel Eyes (film)/script.txt,Angel Eyes (film),540,492,515,308,82,263,84,263,149,248,211,182
./scriptbase titles/Fear and Loathing in Las Vegas (film)/script.txt,Fear and Loathing in Las Vegas (film),52,145,79,30,4,71,29,46,14,16,62,43
./scriptbase titles/S. Darko/script.txt,S. Darko,279,253,444,136,54,141,35,254,75,105,96,180
./scriptbase titles/Bones (2001 film)/script.txt,Bones (2001 film),177,459,186,95,26,286,65,114,29,68,227,72
./scriptbase titles/Body of Evidence (1993 film)/script.txt,Body of Evidence (1993 film),344,361,101,176,53,183,55,42,18,147,150,51
./scriptbase titles/Contact (1997 film)/script.txt,Contact (1997 film),260,114,440,129,48,70,13,208,153,78,49,176
./scriptbase titles/The Family Man/script.txt,The Family Man,357,382,490,187,41,187,62,279,45,144,147,206
./scriptbase titles/Frozen River/script.txt,Frozen River,316,258,418,200,40,131,27,245,48,157,109,205
./scriptbase titles/Snow Falling on Cedars (film)/script.txt,Snow Falling on Cedars (film),183,494,160,91,28,257,80,62,36,64,220,59
./scriptbase titles/The Crying Game/script.txt,The Crying Game,225,424,121,117,24,228,50,77,14,92,167,52
./scriptbase titles/Shame (2011 film)/script.txt,Shame (2011 film),58,116,37,33,3,69,5,16,6,24,51,13
./scriptbase titles/The Omega Man/script.txt,The Omega Man,129,464,91,68,14,285,75,49,13,39,196,38
./scriptbase titles/Dead Poets Society/script.txt,Dead Poets Society,53,468,218,26,6,270,65,124,30,15,238,82
./scriptbase titles/Tomorrow Never Dies/script.txt,Tomorrow Never Dies,90,383,130,48,11,226,64,78,14,36,173,59
./scriptbase titles/Batman (1989 film)/script.txt,Batman (1989 film),129,374,153,77,20,219,52,88,32,58,164,77
./scriptbase titles/Seven (film)/script.txt,Seven (film),168,888,194,95,16,522,112,91,25,69,414,80
./scriptbase titles/Flight (2012 film)/script.txt,Flight (2012 film),157,291,111,91,21,156,43,67,18,67,120,51
./scriptbase titles/Conan the Barbarian (2011 film)/script.txt,Conan the Barbarian (2011 film),244,560,115,120,23,370,49,70,13,98,289,53
./scriptbase titles/Kalifornia/script.txt,Kalifornia,462,378,229,267,61,226,54,133,22,204,191,101
./scriptbase titles/Three Men and a Baby/script.txt,Three Men and a Baby,324,477,365,116,44,307,52,212,51,100,230,172
./scriptbase titles/Buried (film)/script.txt,Buried (film),35,316,267,13,7,196,57,185,23,13,152,145
./scriptbase titles/The Day the Earth Stood Still/script.txt,The Day the Earth Stood Still,177,399,187,97,25,236,74,104,35,89,173,76
./scriptbase titles/Lost Highway (film)/script.txt,Lost Highway (film),266,543,320,140,45,295,92,196,38,101,230,157
./scriptbase titles/Ride the High Country/script.txt,Ride the High Country,102,260,178,45,17,146,30,113,19,35,105,98
./scriptbase titles/Celeste and Jesse Forever/script.txt,Celeste and Jesse Forever,437,125,184,253,61,65,19,119,26,196,60,95
./scriptbase titles/Jaws 3-D/script.txt,Jaws 3-D,163,239,224,98,13,124,26,135,28,78,99,102
./scriptbase titles/Hider in the House (1989 film)/script.txt,Hider in the House (1989 film),118,318,274,63,15,159,55,166,38,51,132,122
./scriptbase titles/Minority Report (film)/script.txt,Minority Report (film),273,444,174,162,48,237,77,94,26,115,184,80
./scriptbase titles/What Lies Beneath/script.txt,What Lies Beneath,369,201,183,207,62,127,25,95,30,151,95,71
./scriptbase titles/Grand Hotel (film)/script.txt,Grand Hotel (film),300,432,86,170,41,242,52,47,9,132,193,38
./scriptbase titles/Peeping Tom (film)/script.txt,Peeping Tom (film),350,477,219,174,57,261,74,119,19,134,233,97
./scriptbase titles/RocknRolla/script.txt,RocknRolla,50,502,169,27,4,270,66,106,18,25,244,77
./scriptbase titles/Simone (2002 film)/script.txt,Simone (2002 film),249,161,601,127,33,103,16,289,195,97,80,293
./scriptbase titles/Coraline (film)/script.txt,Coraline (film),628,147,264,413,76,97,11,144,59,313,66,98
./scriptbase titles/Pearl Harbor (film)/script.txt,Pearl Harbor (film),166,584,437,77,22,315,82,260,61,56,222,188
./scriptbase titles/Hard Rain (film)/script.txt,Hard Rain (film),103,414,304,52,17,221,59,181,44,34,174,133
./scriptbase titles/Even Cowgirls Get the Blues (film)/script.txt,Even Cowgirls Get the Blues (film),264,79,109,151,48,57,6,57,19,125,41,51
./scriptbase titles/All the Kings Men (1949 film)/script.txt,All the Kings Men (1949 film),114,358,273,44,18,190,44,156,33,43,146,122
./scriptbase titles/Bamboozled/script.txt,Bamboozled,67,154,111,28,9,83,23,64,23,30,73,49
./scriptbase titles/Strange Days (film)/script.txt,Strange Days (film),375,658,148,178,53,356,101,80,20,133,313,76
./scriptbase titles/Go (1999 film)/script.txt,Go (1999 film),345,459,513,201,32,309,31,269,120,156,239,225
./scriptbase titles/Living in Oblivion/script.txt,Living in Oblivion,150,136,87,78,23,60,18,43,15,44,56,31
./scriptbase titles/The Next Three Days/script.txt,The Next Three Days,243,509,575,143,40,260,94,343,96,119,233,294
./scriptbase titles/The Cider House Rules (film)/script.txt,The Cider House Rules (film),409,670,245,229,57,323,117,137,39,195,268,99
./scriptbase titles/Erin Brockovich (film)/script.txt,Erin Brockovich (film),434,265,590,229,55,153,34,321,93,193,131,288
./scriptbase titles/The Body Snatcher (film)/script.txt,The Body Snatcher (film),217,369,95,123,21,209,45,62,7,97,168,30
./scriptbase titles/The Bridges of Madison County (film)/script.txt,The Bridges of Madison County (film),559,247,190,310,82,149,28,102,28,244,120,77
./scriptbase titles/The Searchers (film)/script.txt,The Searchers (film),244,736,372,114,30,443,99,218,47,79,341,164
./scriptbase titles/Starship Troopers (film)/script.txt,Starship Troopers (film),188,331,133,95,24,192,35,84,19,63,154,74
./scriptbase titles/30 Minutes or Less/script.txt,30 Minutes or Less,91,495,152,48,5,314,50,88,21,34,235,65
./scriptbase titles/Minis First Time/script.txt,Minis First Time,319,228,202,170,48,104,40,106,22,142,89,82
./scriptbase titles/The Program/script.txt,The Program,127,266,625,71,23,142,32,352,170,51,118,274
./scriptbase titles/The World Is Not Enough/script.txt,The World Is Not Enough,248,476,158,143,22,286,68,82,21,128,235,69
./scriptbase titles/A Walk to Remember/script.txt,A Walk to Remember,213,254,141,108,35,142,42,78,20,75,116,56
./scriptbase titles/Fantastic Four (film)/script.txt,Fantastic Four (film),244,690,408,140,35,378,122,228,66,98,276,189
./scriptbase titles/White Squall (film)/script.txt,White Squall (film),88,549,365,38,10,311,67,202,67,31,257,151
./scriptbase titles/Valkyrie (film)/script.txt,Valkyrie (film),32,289,294,22,4,143,44,157,87,20,125,124
./scriptbase titles/Get Shorty (film)/script.txt,Get Shorty (film),524,488,186,242,126,259,62,77,28,237,210,77
./scriptbase titles/The Talented Mr. Ripley (film)/script.txt,The Talented Mr. Ripley (film),99,500,117,40,14,275,74,46,12,33,222,47
./scriptbase titles/Domino (film)/script.txt,Domino (film),187,169,246,115,18,90,33,139,37,79,84,112
